gene	category	drug_class
aad9	resistance	AMINOGLYCOSIDE
aadE	resistance	AMINOGLYCOSIDE
ant(6)-Ia	resistance	AMINOGLYCOSIDE
aph(2'')-IIIa	resistance	AMINOGLYCOSIDE
aph(3')-IIIa	resistance	AMINOGLYCOSIDE
arsP	stress	ARSENIC
blaOXA-184	resistance	BETA-LACTAM
blaOXA-193	resistance	BETA-LACTAM
blaOXA-61_G-57T	resistance	BETA-LACTAM
cadF	virulence	
cdtA	virulence	
cdtB	virulence	
cdtC	virulence	
cheA	virulence	
cheV	virulence	
cheW	virulence	
cheY	virulence	
ciaB	virulence	
ciaC	virulence	
Cj1416c	virulence	
Cj1417c	virulence	
Cj1419c	virulence	
Cj1420c	virulence	
Cj1427c	virulence	
cmeB	resistance	PHENICOL/QUINOLONE
cysC	virulence	
eptC	virulence	
erm(B)	resistance	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN
flaA	virulence	
flaB	virulence	
flaC	virulence	
flaD	virulence	
flaG	virulence	
flgA	virulence	
flgB	virulence	
flgC	virulence	
flgD	virulence	
flgE	virulence	
flgF	virulence	
flgG	virulence	
flgH	virulence	
flgI	virulence	
flgJ	virulence	
flgK	virulence	
flgM	virulence	
flgP	virulence	
flgQ	virulence	
flgR	virulence	
flgS	virulence	
flhA	virulence	
flhB	virulence	
flhF	virulence	
flhG	virulence	
fliA	virulence	
fliD	virulence	
fliE	virulence	
fliF	virulence	
fliG	virulence	
fliH	virulence	
fliI	virulence	
fliK	virulence	
fliL	virulence	
fliM	virulence	
fliN	virulence	
fliP	virulence	
fliQ	virulence	
fliR	virulence	
fliS	virulence	
fliW	virulence	
fliY	virulence	
gmhA	virulence	
gmhA2	virulence	
gmhB	virulence	
gyrA_T86I	resistance	QUINOLONE
hddA	virulence	
hddC	virulence	
hldD	virulence	
hldE	virulence	
htrB	virulence	
jlpA	virulence	
kpsC	virulence	
kpsD	virulence	
kpsE	virulence	
kpsF	virulence	
kpsM	virulence	
kpsS	virulence	
kpsT	virulence	
maf4	virulence	
motA	virulence	
motB	virulence	
pebA	virulence	
pflA	virulence	
porA	virulence	
pseA	virulence	
pseB	virulence	
pseC	virulence	
pseE/maf5	virulence	
pseF	virulence	
pseG	virulence	
pseH	virulence	
pseI	virulence	
ptmA	virulence	
ptmB	virulence	
rplV_A103V	resistance	MACROLIDE
rpoN	virulence	
sat4	resistance	STREPTOTHRICIN
spw	resistance	AMINOGLYCOSIDE
tet(O)	resistance	TETRACYCLINE
waaC	virulence	
waaF	virulence	
waaV	virulence	
