id,Virulence_Gene,Locus_Tag,Note,Product,DB_Xref,Location
5197,IncW_trwC,None,conjugative relaxase,TrwC,None,plasmid
5196,IncW_trwB,None,coupling protein,TrwB,None,plasmid
5195,IncW_trwA,None,relaxosome accessory protein,TrwA,None,plasmid
5194,IncP_trbK,None,cleavage point for export signal sequence between amino acids 21..22,TrbK,None,plasmid
5193,IncP_traE,None,None,TraE,None,plasmid
5192,IncP_traA,None,None,None,InterPro:IPR020497,plasmid
5191,IncAC_traY,EHM21304_p1630,conjugal transfer protein,type IV conjugative transfer system protein TraY,None,plasmid
5190,IncAC_traT,EHM21304_p1100,surface exclusion protein,type IV conjugative transfer system protein TraT,None,plasmid
5189,IncAC_traS,EHM21304_p1110,surface exclusion protein,type IV conjugative transfer system protein TraS,None,plasmid
5188,IncAC_traR,EHM21304_p1730,conjugal transfer regulatory protein,type IV conjugative transfer system protein TraR,None,plasmid
5187,IncAC_traQ,EHM21304_p1160,conjugal transfer pilus chaperone,type IV conjugative transfer system protein TraQ,None,plasmid
5186,IncAC_traP,EHM21304_p1690,conjugal transfer protein,type IV conjugative transfer system protein TraP,None,plasmid
5185,IncAC_traO,None,None,traO,SEED:fig|562.37737.peg.2333,plasmid
5184,IncAC_traM,EHM21304_p1610,signal transduction protein,type IV conjugative transfer system protein TraM,None,plasmid
5183,IncAC_traK,EHM21304_p1670,conjugative transfer system secretin,type IV conjugative transfer system protein TraK,None,plasmid
5182,IncAC_traJ,EHM21304_p1620,functional relaxosome complex initiator,type IV conjugative transfer system protein TraJ,None,plasmid
2373,IncFIA_trbJ,AVR69_RS25335,Derived by automated computational analysis using gene prediction method: Protein Homology.,P-type conjugative transfer protein TrbJ,,plasmid
2372,IncFIA_trbI,AVR69_RS25400,Derived by automated computational analysis using gene prediction method: Protein Homology.,type-F conjugative transfer system protein TrbI,,plasmid
2371,IncFIA_trbF,AVR69_RS25330,Derived by automated computational analysis using gene prediction method: Protein Homology.,F-type conjugal transfer protein TrbF,,plasmid
2370,IncFIA_trbE,AVR69_RS25370,Derived by automated computational analysis using gene prediction method: Protein Homology.,conjugal transfer protein TrbE,,plasmid
2369,IncFIA_trbD,C0634_RS01325,Derived by automated computational analysis using gene prediction method: GeneMarkS-2+.,conjugal transfer protein TrbD,,plasmid
2368,IncFIA_trbC,AVR69_RS25380,Derived by automated computational analysis using gene prediction method: Protein Homology.,type-F conjugative transfer system pilin assembly protein TrbC,,plasmid
2367,IncFIA_trbB,AVR69_RS25340,Derived by automated computational analysis using gene prediction method: Protein Homology.,type-F conjugative transfer system pilin assembly thiol-disulfide isomerase TrbB,,plasmid
2366,IncFIA_trbA,AVR69_RS25350,Derived by automated computational analysis using gene prediction method: Protein Homology.,conjugal transfer protein TrbA,,plasmid
2365,IncFIA_traX,AVR69_RS25290,Derived by automated computational analysis using gene prediction method: Protein Homology.,conjugal transfer pilus acetylase TraX,,plasmid
2364,IncFIA_traW,AVR69_RS25395,Derived by automated computational analysis using gene prediction method: Protein Homology.,type-F conjugative transfer system protein TraW,,plasmid
2363,IncFIA_traV,AVR69_RS25415,Derived by automated computational analysis using gene prediction method: Protein Homology.,type IV conjugative transfer system lipoprotein TraV,,plasmid
2362,IncFIA_traU,AVR69_RS25390,Derived by automated computational analysis using gene prediction method: Protein Homology.,conjugal transfer pilus assembly protein TraU,,plasmid
2361,IncFIA_traT,AVR69_RS25310,Derived by automated computational analysis using gene prediction method: Protein Homology.,complement resistance protein TraT,,plasmid
2360,IncFIA_traR,AVR69_RS25410,Derived by automated computational analysis using gene prediction method: Protein Homology.,conjugal transfer protein TraR,,plasmid
2359,IncFIA_traQ,AVR69_RS25345,Derived by automated computational analysis using gene prediction method: Protein Homology.,type-F conjugative transfer system pilin chaperone TraQ,,plasmid
