sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	circularity_status	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	repetitive_dna_id	repetitive_dna_type	filtering_reason
SH033793	chromosome	-	-	NODE_109_length_238_cov_2.024845	238	0.5504201680672269	78ce0e80dd7c5ce7341c71f4d611128a	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_10_length_187941_cov_310.101632	187941	0.4982095444847053	da174b1f634e06ead84292bd2e81bc51	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_115_length_236_cov_295.886792	236	0.5296610169491526	e3f47b166bebb05428691e8cd81eef0f	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_11_length_179993_cov_310.320177	179993	0.5169367697632685	9ecc8728860f3b03693e97762a221d08	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_123_length_233_cov_3.217949	233	0.5407725321888412	f16acb28361980f0b8b7ccf7a5db7de2	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_125_length_231_cov_133.766234	231	0.6883116883116883	81f765b65a3e5a931f3af0149deaf001	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_12_length_151334_cov_307.190755	151334	0.5166783406240502	1a52ce4c456dc21aac5e4c26fc51b76d	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_135_length_221_cov_186.527778	221	0.6334841628959276	27b1fb9ca6bad8b47758d8787ff486db	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_136_length_221_cov_124.277778	221	0.7647058823529411	d26bb0e3a65506000674c689007cfb16	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_137_length_214_cov_322.861314	214	0.5	b85c087c893aff3bf8c015afd672c3a3	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_138_length_212_cov_196.511111	212	0.6745283018867925	17e993d45de698c8a35b84a19284f2cf	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_139_length_210_cov_198.586466	210	0.6952380952380952	56632fcce48a67b4491f651009d9382a	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_13_length_150298_cov_307.179216	150298	0.5260149835659822	e0f17bc7826063420448e67bf0074d16	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_140_length_207_cov_215.492308	207	0.6231884057971014	439e9e27dfaf212447373ce22ee85e17	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_14_length_145512_cov_306.106102	145512	0.5118890538237396	0572aba69e2101653274717630752f70	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_15_length_118297_cov_288.888987	118297	0.5291934706712765	de6ed5d648a0af0fbc150ab8ee1029ce	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_16_length_104634_cov_311.783372	104634	0.5155876674885792	063ee9ede642b0d09a349ad03d79101f	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_17_length_92455_cov_305.789820	92455	0.530701422313558	2b12e874d82f4e221045656cf45cd2a8	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_18_length_79302_cov_309.237640	79302	0.5266197573831681	5b4509c5fdd235be5c4ea2ec1cd56c80	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_19_length_73951_cov_283.229242	73951	0.533096239401766	4758643058750df951a55fe47dfb79e2	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_1_length_727900_cov_295.875380	727900	0.5151243302651463	b1c421ef09235a2634c6aee60136b9db	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_20_length_61016_cov_293.795386	61016	0.5156680215025568	d22c9a76acfcca813035e6aba0183b0e	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_21_length_53477_cov_313.395056	53477	0.5111356284009948	47d62dadf289428c874aee7b02df7d48	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_22_length_45300_cov_312.459479	45300	0.5207726269315673	4019ad8363f3007197455d3f577eef5e	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	plasmid	AC305	AL439	NODE_23_length_33656_cov_1433.754132	33656	0.43276087473258856	703af2cc21a26835acbba4a4cb1c934c	not tested	IncX1	000215__KC853434_00019	MOBP	NC_019047_00022	MPF_T,MPF_T,MPF_T,MPF_T,MPF_T	NC_023277_00163,NC_019047_00030,NC_019047_00031,NC_019047_00032,NC_019047_00035	-	-	-	CP037995	0.00058191	Salmonella enterica subsp. enterica serovar Brancaster	-	-	-
SH033793	chromosome	-	-	NODE_24_length_32306_cov_304.701852	32306	0.5330279205101219	a6d8b3e149d6886750c9713bd59f8fef	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_25_length_26153_cov_318.185535	26153	0.5069016938783314	a1d6ade79956624f9056f425fec57aaf	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_26_length_11356_cov_317.351450	11356	0.4865269461077844	61587c355f3e8e50dd31825ddb5af762	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	plasmid	AC305	AL439	NODE_27_length_6037_cov_866.243792	6037	0.6125559052509525	505d3b16483d2dc09214922d1d905c85	not tested	-	-	-	-	-	-	-	-	-	CP037995	0.00058191	Salmonella enterica subsp. enterica serovar Brancaster	-	-	-
SH033793	plasmid	AD337	AM869	NODE_28_length_5984_cov_3052.438124	5984	0.5095254010695187	5a8c8e17c202705c7e0168888ce629b9	not tested	-	-	MOBP	NC_017723_00002	-	-	-	-	-	CP033826	0.000167546	Klebsiella sp. FDAARGOS_511	-	-	-
SH033793	chromosome	-	-	NODE_29_length_4378_cov_321.166240	4378	0.49588853357697577	dc76114f5dbc902985ec0237e8f458ba	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_2_length_573291_cov_301.833598	573291	0.5213722175997879	7225ef2b8fb599fe0568ec43cc0339fc	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	chromosome	-	-	NODE_30_length_2930_cov_292.579741	2930	0.6767918088737201	7af9bfeb9a86116962c3c6e293a5a79e	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SH033793	plasmid	AB038	AJ574	NODE_31_length_2341_cov_5826.720848	2341	0.5151644596326356	664bfd0971bf4bf42c7c55691c4a0fb3	not tested	rep_cluster_2335	KU302809_00001	-	-	-	-	MOBP	HQ328804	-	CP030193	0.000215742	Salmonella enterica	-	-	-
SH033793	plasmid	AC305	AL439	NODE_32_length_2058_cov_1317.196870	2058	0.4557823129251701	2f73e605e97b46b1b0e47964209523ae	not tested	-	-	-	-	-	-	-	-	-	CP037995	0.00058191	Salmonella enterica subsp. enterica serovar Brancaster	KX711879	ISEc51	repetitve element
