id,Virulence_Gene,Locus_Tag,Note,Product,DB_Xref,Location
5251,flgB,Z1711,Residues 1 to 138 of 138 are 99.27 pct identical to residues 1 to 138 of 138 from Escherichia coli K-12 Strain MG1655: B1073,"flagellar biosynthesis, cell-proximal portion of basal-body rod",None,genome
5250,hlyF,None,None,HlyF,None,plasmid
5249,hlyD,None,None,HlyD protein,GOA:C0M639,genome
5248,hlyA,None,None,HlyA protein,GOA:C0M637,genome
5247,feoB,ETECE925_00379,None,None,None,genome
5246,feoC,ETECE925_00378,None,None,None,genome
5245,fhuA,ETECE925_03868,None,None,None,genome
5244,sfaA,None,None,S fimbrial adhesin major subunit SfaA,None,genome
5243,kfiC,PIB86_03950,Derived by automated computational analysis using gene prediction method: Protein Homology.,K5 polysaccharide biosynthesis glycosyltransferase KfiC,None,genome
5242,kfiB,PIB86_03940,Derived by automated computational analysis using gene prediction method: Protein Homology.,kfiB protein,None,genome
5241,kfiA,PIB86_03935,Derived by automated computational analysis using gene prediction method: Protein Homology.,K5 polysaccharide biosynthesis alpha-UDP-GlcNAc glycosyltransferase KfiA,None,genome
5240,neuA,PD07_06620,Derived by automated computational analysis using gene prediction method: Protein Homology.,NeuA,None,genome
5239,yfcV,ETECE562_01620,None,None,None,genome
5238,uspB,ETECE562_00351,None,None,None,genome
5237,tcpC,None,Tir domain containing protein; similar to c2398 of Escherichia coli CFT073,TcpC,None,genome
5236,traT,IPF_283,Identical to sp|P15177|TRAT4_ECOLI TraT complement resistance protein precursor,None,GOA:B1VCB1,plasmid
5235,terC,None,Integral membrane protein TerC,TerC,None,plasmid
5234,terB,None,Tellurite resistance protein TerB,TerB,None,plasmid
5233,sitA,None,None,SitA,None,plasmid
5232,sfaD,None,None,SfaD,None,genome
5231,sfaE,None,None,S fimbreal adhesin E,None,genome
5230,senB,p425_00120,FIG00639638,SenB,None,plasmid
5229,neuC,None,None,NeuC,None,genome
5228,mcmA,None,None,microcin M,None,genome
5227,kpsM,None,capsule transport protein,KpsM,None,genome
5226,kpsE,None,capsule transport protein,KpsE,None,genome
5225,kpsD,None,capsule transport protein,KpsD,None,genome
5224,irp2,None,HMWP2,high-molecular-weight protein 2,None,genome
5223,hra1,None,heat resistant agglutinin 1,Hra1,None,genome
5222,gsp,None,"C-terminal similar to E. coli YjfC, Swiss-Prot Accession Number P33222, and YgiC, Swiss-Prot Accession Number P24196",glutathionylspermidine synthetase/amidase,None,genome
5221,gad,None,None,Gad,None,genome
5220,focC,ETECE1649_03775,None,None,None,genome
5219,fyuA,None,None,FyuA,None,genome
5218,etsC,None,putative type 1 secretion system outer membrane protein; etsC,EtsC,None,plasmid
5217,entA,None,"2,3-dihydroxybenzoate-2,3-dehydrogenase",EntA,None,genome
5216,ecpA,JE86ST05C_03270,"DFAST-ECOLI:ABB64944.1 ECP pilin [pid:96.9%, q_cov:99.5%, s_cov:91.9%, Eval:5.0e-103]; MGA_328",ECP pilin,None,genome
5215,ecpB,JE86ST05C_03260,"DFAST-ECOLI:AAN78884.1 ECP production pilus chaperone [pid:97.7%, q_cov:100.0%, s_cov:93.3%, Eval:2.7e-122]; MGA_327",ECP production pilus chaperone,None,genome
5214,ecpC,JE86ST05C_03250,"DFAST-ECOLI:AAC73394.1 ECP production outer membrane protein [pid:97.5%, q_cov:100.0%, s_cov:100.0%, Eval:0.0e+00]; MGA_326",ECP production outer membrane protein,None,genome
5213,ecpD,JE86ST05C_03240,"DFAST-ECOLI:AAC73393.1 polymerized tip adhesin of ECP fibers [pid:99.4%, q_cov:100.0%, s_cov:95.6%, Eval:7.0e-315]; MGA_325",polymerized tip adhesin of ECP fibers,None,genome
5212,ecpE,JE86ST05C_03230,"DFAST-ECOLI:AAN78881.1 ECP production pilus chaperone [pid:96.2%, q_cov:100.0%, s_cov:94.0%, Eval:4.1e-132]; MGA_324",ECP production pilus chaperone,None,genome
5211,chuA,None,heme utilization/transport protein; probable TonB-dependent outer membrane receptor protein,ChuA,None,genome
5210,csgE,None,similar to Escherichia coli CsgE: SwissProt Accession Number P52105,curli production assembly/transport component CsgE precursor,None,genome
5209,csgF,None,similar to Escherichia coli CsgF: SwissProt Accession Number P52104,curli production assembly/transport component CsgF precursor,None,genome
5208,csgG,None,similar to Escherichia coli CsgG: SwissProt Accession Number P52103,curli production assembly/transport component CsgG precursor,None,genome
5207,csgD,None,necessary for transcription of the csgAB operon; similar to Escherichia coli CsgD: SwissProt Accession Number P52106,regulatory protein CsgD,None,genome
5206,cma,None,colicin M,Cma,None,plasmid
5205,celb,None,lysis protein precursor,celB,None,plasmid
5204,cea,GO935_RS00505,Derived by automated computational analysis using gene prediction method: Protein Homology.,pore-forming bacteriocin colicin E1,None,plasmid
5203,cba,None,colicin B activity protein,Cba,None,plasmid
5202,afaD,None,invasin,AfaD,None,genome
5201,cib,ETECE1779_00085,None,Colicin 1b Cib-homolog protein,None,genome
5200,cia,ETECE1779_00178,None,None,None,genome
5199,fimH,None,fimbrial adhesin,FimH,None,genome
5198,fimA,None,main subunit F1 pili,FimA,None,genome
5181,yfeD,ECRM12581_15920,FIG00638165; Geneious type: cds; label: yfeD CDS,yfeD,None,genome
5180,yfeC,ECRM12581_15915,Geneious type: cds; label: yfeC CDS; regulator; Not classified,Putative negative regulator,None,genome
5179,yfeB,None,100 pct identical to gp:AF106329_5[orf73 of plasmid F],None,None,plasmid
5178,yfeA,None,100 pct identical to gp:AF106329_4[orf227 of plasmid F],None,None,plasmid
5177,ybtQ,C22711_4009,TMHMM annotation prediction; source=UniProt,ybtQ,None,genome
5176,Vat,None,serine protease autotransporter,Vat-vacuolating autotransporter toxin,None,genome
5175,tsh,None,None,Tsh,None,genome
5174,toxB,None,similar to SWISS_PROT accession number P18177,Toxin B,None,genome
5173,tir,None,None,Tir,None,genome
5172,tcdA,KHW16_10575,Derived by automated computational analysis using gene prediction method: Protein Homology.,tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase TcdA,None,genome
5171,tccP,None,type III secreted effector protein; activator of N-WASP,tir-cytoskeleton coupling protein,None,genome
5170,subB,None,putative cytotoxin cofactor; similar to YPO0337 from Yersinia pestis,SubB,None,genome
5169,subA,None,subtilase-like serine protease with cytotoxic activity; member of peptidase_S8 subtilase family,SubA,None,genome
5168,stxB2gB,None,None,Shiga toxin 2 B-subunit,None,genome
5167,stxB2gA,None,None,Shiga toxin 2 A-subunit,None,genome
5166,stxB2fB,None,None,shiga toxin 2 variant f B-subunit,None,genome
