#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
CA114720_filtered_contigs.fasta	NODE_1_length_324161_cov_58.071320	1227	3113	-	pseE/maf5	1-1887/1887	===============	0/0	100.00	97.35	vfdb	NP_282483	(pseE/maf5) motility accessory factor PseE [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA114720_filtered_contigs.fasta	NODE_1_length_324161_cov_58.071320	3110	5047	-	pseD/maf2	13-1962/1962	========/======	11/26	98.42	87.43	vfdb	NP_282479	(pseD/maf2) motility accessory factor PseD [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA114720_filtered_contigs.fasta	NODE_1_length_324161_cov_58.071320	6916	8868	-	pseD/maf2	1-1962/1962	========/======	9/23	99.18	87.81	vfdb	NP_282479	(pseD/maf2) motility accessory factor PseD [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA114720_filtered_contigs.fasta	NODE_1_length_324161_cov_58.071320	8856	9626	-	ptmA	1-771/771	===============	0/0	100.00	97.28	vfdb	NP_282478	(ptmA) flagellin modification protein A [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA114720_filtered_contigs.fasta	NODE_1_length_324161_cov_58.071320	9626	10333	-	ptmB	1-708/708	===============	0/0	100.00	97.46	vfdb	NP_282477	(ptmB) acylneuraminate cytidylyltransferase [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA114720_filtered_contigs.fasta	NODE_1_length_324161_cov_58.071320	19268	20292	-	pseI	1-1025/1032	===============	0/0	99.32	96.39	vfdb	NP_282463	(pseI) N-acetylneuraminic acid synthetase [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA114720_filtered_contigs.fasta	NODE_1_length_324161_cov_58.071320	20550	21686	+	pseA	1-1137/1137	===============	0/0	100.00	99.12	vfdb	NP_282462	(pseA) pseudaminic acid biosynthesis PseA protein [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA114720_filtered_contigs.fasta	NODE_1_length_324161_cov_58.071320	23000	23473	-	pseH	1-474/474	===============	0/0	100.00	94.09	vfdb	NP_282459	(pseH) N-acetyltransferase [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA114720_filtered_contigs.fasta	NODE_1_length_324161_cov_58.071320	23470	24294	-	pseG	1-825/825	===============	0/0	100.00	99.03	vfdb	NP_282458	(pseG) UDP-24-diacetamido-246-trideoxy-beta-L-altropyranose hydrolase [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA114720_filtered_contigs.fasta	NODE_1_length_324161_cov_58.071320	24278	24976	-	pseF	1-699/699	===============	0/0	100.00	95.71	vfdb	NP_282457	(pseF) acylneuraminate cytidylyltransferase [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA114720_filtered_contigs.fasta	NODE_1_length_324161_cov_58.071320	39732	40862	-	pseC	1-1131/1131	===============	0/0	100.00	95.14	vfdb	NP_282440	(pseC) C4 aminotransferase [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA114720_filtered_contigs.fasta	NODE_1_length_324161_cov_58.071320	40864	41868	-	pseB	1-1005/1005	===============	0/0	100.00	97.11	vfdb	NP_282439	(pseB) UDP-GlcNAc-specific C46 dehydratase/C5 epimerase [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA114720_filtered_contigs.fasta	NODE_1_length_324161_cov_58.071320	95773	96093	-	ciaC	1-321/321	===============	0/0	100.00	96.89	vfdb	YP_002344633	(ciaC) Campylobacter invasion antigen C [CiaC (VF0415)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA114720_filtered_contigs.fasta	NODE_1_length_324161_cov_58.071320	153934	154701	+	fliR	1-768/768	===============	0/0	100.00	99.48	vfdb	NP_282326	(fliR) flagellar biosynthetic protein FliR [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA114720_filtered_contigs.fasta	NODE_1_length_324161_cov_58.071320	175438	175998	+	gmhB	1-561/561	===============	0/0	100.00	96.79	vfdb	NP_282299	(gmhB) DD-heptose 17-bisphosphate phosphatase [LOS (CVF396)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA114720_filtered_contigs.fasta	NODE_1_length_324161_cov_58.071320	175999	176952	+	hldD	1-954/954	===============	0/0	100.00	96.96	vfdb	NP_282298	(hldD) ADP-glyceromanno-heptose 6-epimerase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA114720_filtered_contigs.fasta	NODE_1_length_324161_cov_58.071320	176945	178330	+	hldE	1-1386/1386	===============	0/0	100.00	93.58	vfdb	NP_282297	(hldE) bifunctional D-beta-D-heptose 7-phosphate kinase/D-beta-D-heptose 1-phosphate adenylyltransferase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA114720_filtered_contigs.fasta	NODE_1_length_324161_cov_58.071320	178327	178887	+	gmhA	1-561/561	===============	0/0	100.00	94.65	vfdb	NP_282296	(gmhA) phosphoheptose isomerase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA114720_filtered_contigs.fasta	NODE_1_length_324161_cov_58.071320	179644	180587	-	waaF	1-944/960	========/======	2/6	98.02	94.09	vfdb	NP_282295	(waaF) heptosyltransferase II [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA114720_filtered_contigs.fasta	NODE_1_length_324161_cov_58.071320	180646	181444	+	waaV	1-799/825	===============	0/0	96.85	93.37	vfdb	NP_282294	(waaV) glucosyltransferase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
