qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
HQ328804|MOBP	NODE_31_length_2341_cov_5826.720848	174	2341	1	174	1362	1535	174	14	91.954	100.0	100.0	plus	1.43e-65	244	oriT
000215__KC853434_00019|IncX1	NODE_23_length_33656_cov_1433.754132	447	33656	1	447	5064	5510	447	7	98.434	100.0	100.0	minus	0.0	787	replicon
KU302809_00001|rep_cluster_2335	NODE_31_length_2341_cov_5826.720848	606	2341	1	547	892	1438	549	29	93.989	90.0	90.0	minus	0.0	828	replicon
NC_019047_00022|MOBP	NODE_23_length_33656_cov_1433.754132	385	33656	1	385	11146	12300	385	0	100.0	100.0	100.0		0.0	726	relaxase
NC_017723_00002|MOBP	NODE_28_length_5984_cov_3052.438124	522	5984	1	522	4015	5580	522	27	94.828	100.0	100.0		0.0	885	relaxase
NC_023277_00163|MPF_T	NODE_23_length_33656_cov_1433.754132	717	33656	1	715	14922	17066	715	123	82.797	99.0	99.0		0.0	1241	mate-pair-formation
NC_019047_00030|MPF_T	NODE_23_length_33656_cov_1433.754132	351	33656	1	351	18102	19154	351	0	100.0	100.0	100.0		0.0	585	mate-pair-formation
NC_019047_00031|MPF_T	NODE_23_length_33656_cov_1433.754132	240	33656	17	240	19395	20066	224	0	100.0	93.0	93.0		3.7099999999999996e-139	428	mate-pair-formation
NC_019047_00032|MPF_T	NODE_23_length_33656_cov_1433.754132	309	33656	1	309	20075	21001	309	0	100.0	100.0	100.0		0.0	631	mate-pair-formation
NC_019047_00035|MPF_T	NODE_23_length_33656_cov_1433.754132	611	33656	1	599	23275	25071	599	0	100.0	98.0	98.0		0.0	1116	mate-pair-formation
