"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","CA110357","CA114720","CA139575","CA140404","CA140705","CA140717"
"group_100","","hypothetical protein","6","6","1","1","1882","","","","1520","1520","1520","OBHBHFCO_00097","CCHHBCMG_00516","HDHBLALJ_00669","NFMMKAFD_00513","HIOKELPH_00722","DOCPNFPP_00481"
"group_101","","hypothetical protein","6","6","1","1","1879","","","","647","1226","936","OBHBHFCO_00100","CCHHBCMG_00513","HDHBLALJ_00672","NFMMKAFD_00510","HIOKELPH_00725","DOCPNFPP_00484"
"group_107","","hypothetical protein","6","6","1","1","540","","","","1913","1928","1916","OBHBHFCO_00153","CCHHBCMG_00441","HDHBLALJ_00725","NFMMKAFD_00440","HIOKELPH_00778","DOCPNFPP_00536"
"hemC","","Porphobilinogen deaminase","6","6","1","1","537","","","","923","926","925","OBHBHFCO_00156","CCHHBCMG_00438","HDHBLALJ_00728","NFMMKAFD_00437","HIOKELPH_00781","DOCPNFPP_00539"
"rplL","","50S ribosomal protein L7/L12","6","6","1","1","466","","","","377","377","377","OBHBHFCO_00211","CCHHBCMG_00382","HDHBLALJ_00783","NFMMKAFD_00383","HIOKELPH_00846","DOCPNFPP_00594"
"thiH","","2-iminoacetate synthase","6","6","1","1","1436","","","","1145","1145","1145","OBHBHFCO_00321","CCHHBCMG_00279","HDHBLALJ_00297","NFMMKAFD_00286","HIOKELPH_00328","DOCPNFPP_00198"
"thiG","","Thiazole synthase","6","6","1","1","1437","","","","776","776","776","OBHBHFCO_00322","CCHHBCMG_00278","HDHBLALJ_00298","NFMMKAFD_00285","HIOKELPH_00327","DOCPNFPP_00197"
"group_114","","hypothetical protein","6","6","1","1","1441","","","","191","191","191","OBHBHFCO_00324","CCHHBCMG_00276","HDHBLALJ_00300","NFMMKAFD_00283","HIOKELPH_00325","DOCPNFPP_00195"
"mutS2","","Endonuclease MutS2","6","6","1","1","1448","","","","2207","2207","2207","OBHBHFCO_00330","CCHHBCMG_00272","HDHBLALJ_00306","NFMMKAFD_00278","HIOKELPH_00319","DOCPNFPP_00189"
"grpE","","Protein GrpE","6","6","1","1","929","","","","530","530","530","OBHBHFCO_00507","CCHHBCMG_00902","HDHBLALJ_00006","NFMMKAFD_01092","HIOKELPH_00613","DOCPNFPP_01483"
"gmhA1","","Phosphoheptose isomerase 1","6","6","1","1","1605","","","","560","560","560","OBHBHFCO_00520","CCHHBCMG_00183","HDHBLALJ_00403","NFMMKAFD_00181","HIOKELPH_00212","DOCPNFPP_00092"
"aer_1","","Aerotaxis receptor","6","6","1","1","1661","","","","494","494","494","OBHBHFCO_00557","CCHHBCMG_00143","HDHBLALJ_00440","NFMMKAFD_00141","HIOKELPH_00173","DOCPNFPP_00055"
"gdnC","","putative guanidinium efflux system subunit GdnC","6","6","1","3","258","","","","326","362","336","OBHBHFCO_00649","CCHHBCMG_01368","HDHBLALJ_00944","NFMMKAFD_01217","HIOKELPH_01161","DOCPNFPP_01175"
"gdnD","","putative guanidinium efflux system subunit GdnD","6","6","1","3","259","","","","314","314","314","OBHBHFCO_00650","CCHHBCMG_01367","HDHBLALJ_00943","NFMMKAFD_01218","HIOKELPH_01160","DOCPNFPP_01176"
"surE","","5'-nucleotidase SurE","6","6","1","3","287","","","","773","776","774","OBHBHFCO_00666","CCHHBCMG_01354","HDHBLALJ_00927","NFMMKAFD_01234","HIOKELPH_01143","DOCPNFPP_01192"
"carB","","Carbamoyl-phosphate synthase large chain","6","6","1","3","309","","","","3269","3269","3269","OBHBHFCO_00684","CCHHBCMG_01339","HDHBLALJ_00909","NFMMKAFD_01252","HIOKELPH_01123","DOCPNFPP_01210"
"bioB","","Biotin synthase","6","6","1","2","622","","","","836","836","836","OBHBHFCO_00774","CCHHBCMG_01250","HDHBLALJ_01476","NFMMKAFD_00833","HIOKELPH_01363","DOCPNFPP_01300"
"group_136","","hypothetical protein","6","6","1","2","640","","","","407","443","416","OBHBHFCO_00791","CCHHBCMG_01268","HDHBLALJ_01459","NFMMKAFD_00850","HIOKELPH_01346","DOCPNFPP_01317"
"rplW","","50S ribosomal protein L23","6","6","1","2","643","","","","281","281","281","OBHBHFCO_00794","CCHHBCMG_01271","HDHBLALJ_01456","NFMMKAFD_00853","HIOKELPH_01343","DOCPNFPP_01320"
"guaA","","GMP synthase [glutamine-hydrolyzing]","6","6","1","1","1751","","","","1535","1535","1535","OBHBHFCO_00943","CCHHBCMG_00092","HDHBLALJ_00507","NFMMKAFD_00085","HIOKELPH_00101","DOCPNFPP_01553"
"moeA_2","","Molybdopterin molybdenumtransferase","6","6","1","1","144","","","","1190","1190","1190","OBHBHFCO_00957","CCHHBCMG_00954","HDHBLALJ_01308","NFMMKAFD_01345","HIOKELPH_00942","DOCPNFPP_00813"
"group_140","","hypothetical protein","6","6","1","1","156","","","","932","932","932","OBHBHFCO_00967","CCHHBCMG_00965","HDHBLALJ_01319","NFMMKAFD_01335","HIOKELPH_00952","DOCPNFPP_00803"
"dnaA","","Chromosomal replication initiator protein DnaA","6","6","1","2","64","","","","1322","1322","1322","OBHBHFCO_01105","CCHHBCMG_01296","HDHBLALJ_01424","NFMMKAFD_00882","HIOKELPH_01311","DOCPNFPP_01352"
"ilvD","","Dihydroxy-acid dehydratase","6","6","1","2","48","","","","1676","1676","1676","OBHBHFCO_01119","CCHHBCMG_01308","HDHBLALJ_01410","NFMMKAFD_00893","HIOKELPH_01295","DOCPNFPP_01366"
"yfbR","","5'-deoxynucleotidase YfbR","6","6","1","2","46","","","","1226","1226","1226","OBHBHFCO_01120","CCHHBCMG_01309","HDHBLALJ_01409","NFMMKAFD_00895","HIOKELPH_01294","DOCPNFPP_01367"
"fabI","","Enoyl-[acyl-carrier-protein] reductase [NADH] FabI","6","6","1","1","2166","","","","824","827","825","OBHBHFCO_01162","CCHHBCMG_01064","HDHBLALJ_01575","NFMMKAFD_01523","HIOKELPH_01042","DOCPNFPP_00703"
"group_162","","hypothetical protein","6","6","1","2","517","","","","239","1808","1024","OBHBHFCO_01513","CCHHBCMG_01579","HDHBLALJ_01225","NFMMKAFD_01474","HIOKELPH_01530","DOCPNFPP_01038"
"group_163","","hypothetical protein","6","6","1","2","503","","","","1349","1349","1349","OBHBHFCO_01523","CCHHBCMG_01591","HDHBLALJ_01237","NFMMKAFD_01485","HIOKELPH_01539","DOCPNFPP_01047"
"group_165","","hypothetical protein","6","6","1","2","559","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","356","356","356","OBHBHFCO_01540","CCHHBCMG_01568","HDHBLALJ_01213","NFMMKAFD_01462","HIOKELPH_01520","DOCPNFPP_01024"
"purF","","Amidophosphoribosyltransferase","6","6","1","3","511","","","","1337","1337","1337","OBHBHFCO_01568","CCHHBCMG_01642","HDHBLALJ_00837","NFMMKAFD_01643","HIOKELPH_01658","DOCPNFPP_01572"
"group_169","","hypothetical protein","6","6","1","1","1110","","","","2252","2252","2252","OBHBHFCO_01631","CCHHBCMG_00786","HDHBLALJ_00160","NFMMKAFD_00969","HIOKELPH_00465","DOCPNFPP_00335"
"group_172","","hypothetical protein","6","6","1","1","617","","","","656","1211","1118","OBHBHFCO_01659","CCHHBCMG_00025","HDHBLALJ_01693","NFMMKAFD_00019","HIOKELPH_00024","DOCPNFPP_01698"
"pseI","","Pseudaminic acid synthase","6","6","1","1","609","","","","1031","1031","1031","OBHBHFCO_01668","CCHHBCMG_00018","HDHBLALJ_01700","NFMMKAFD_00012","HIOKELPH_00015","DOCPNFPP_01691"
"group_177","","hypothetical protein","6","6","1","3","528","","","","521","1994","1257","OBHBHFCO_01729","CCHHBCMG_01650","HDHBLALJ_00844","NFMMKAFD_01635","HIOKELPH_01651","DOCPNFPP_01579"
"flaC","","Secreted flagellin C","6","6","1","1","249","","","","746","749","748","OBHBHFCO_00016","CCHHBCMG_00612","HDHBLALJ_00588","NFMMKAFD_00609","HIOKELPH_00633","DOCPNFPP_00400"
"rpsP","","30S ribosomal protein S16","6","6","1","1","259","","","","227","227","227","OBHBHFCO_00026","CCHHBCMG_00602","HDHBLALJ_00598","NFMMKAFD_00599","HIOKELPH_00643","DOCPNFPP_00410"
"glnA","","Glutamine synthetase","6","6","1","1","280","","","","1430","1430","1430","OBHBHFCO_00037","CCHHBCMG_00591","HDHBLALJ_00609","NFMMKAFD_00588","HIOKELPH_00654","DOCPNFPP_00421"
"flgG_1","","Flagellar basal-body rod protein FlgG","6","6","1","1","281","","","","788","791","790","OBHBHFCO_00038","CCHHBCMG_00590","HDHBLALJ_00610","NFMMKAFD_00587","HIOKELPH_00655","DOCPNFPP_00422"
"ftsZ","","Cell division protein FtsZ","6","6","1","1","284","","","","1112","1112","1112","OBHBHFCO_00040","CCHHBCMG_00588","HDHBLALJ_00612","NFMMKAFD_00585","HIOKELPH_00657","DOCPNFPP_00424"
"ftsA","","Cell division protein FtsA","6","6","1","1","285","","","","1382","1382","1382","OBHBHFCO_00041","CCHHBCMG_00587","HDHBLALJ_00613","NFMMKAFD_00584","HIOKELPH_00658","DOCPNFPP_00425"
"ispG","","4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)","6","6","1","1","1970","","","","1073","1073","1073","OBHBHFCO_00049","CCHHBCMG_00578","HDHBLALJ_00621","NFMMKAFD_00575","HIOKELPH_00666","DOCPNFPP_00433"
"uvrB","","UvrABC system protein B","6","6","1","1","1964","","","","1973","1973","1973","OBHBHFCO_00054","CCHHBCMG_00572","HDHBLALJ_00626","NFMMKAFD_00569","HIOKELPH_00679","DOCPNFPP_00438"
"dcuB","","Anaerobic C4-dicarboxylate transporter DcuB","6","6","1","1","1949","","","","1424","1424","1424","OBHBHFCO_00055","CCHHBCMG_00559","HDHBLALJ_00627","NFMMKAFD_00560","HIOKELPH_00680","DOCPNFPP_00439"
"argG","","Argininosuccinate synthase","6","6","1","1","1944","","","","1220","1220","1220","OBHBHFCO_00060","CCHHBCMG_00554","HDHBLALJ_00632","NFMMKAFD_00555","HIOKELPH_00685","DOCPNFPP_00444"
"rplI","","50S ribosomal protein L9","6","6","1","1","1943","","","","443","443","443","OBHBHFCO_00061","CCHHBCMG_00553","HDHBLALJ_00633","NFMMKAFD_00554","HIOKELPH_00686","DOCPNFPP_00445"
"hypA","","Hydrogenase/urease maturation factor HypA","6","6","1","1","1888","","","","344","344","344","OBHBHFCO_00091","CCHHBCMG_00522","HDHBLALJ_00663","NFMMKAFD_00519","HIOKELPH_00716","DOCPNFPP_00475"
"hypB","","Hydrogenase maturation factor HypB","6","6","1","1","1884","","","","743","743","743","OBHBHFCO_00095","CCHHBCMG_00518","HDHBLALJ_00667","NFMMKAFD_00515","HIOKELPH_00720","DOCPNFPP_00479"
"hydB","","Quinone-reactive Ni/Fe-hydrogenase large chain","6","6","1","1","1769","","","","1715","1715","1715","OBHBHFCO_00124","CCHHBCMG_00075","HDHBLALJ_00696","NFMMKAFD_00068","HIOKELPH_00750","DOCPNFPP_00508"
"efp","","Elongation factor P","6","6","1","1","1795","","","","569","569","569","OBHBHFCO_00150","CCHHBCMG_00444","HDHBLALJ_00722","NFMMKAFD_00443","HIOKELPH_00775","DOCPNFPP_00533"
"group_231","","hypothetical protein","6","6","1","1","539","","","","365","365","365","OBHBHFCO_00154","CCHHBCMG_00440","HDHBLALJ_00726","NFMMKAFD_00439","HIOKELPH_00779","DOCPNFPP_00537"
"ubiD","","3-octaprenyl-4-hydroxybenzoate carboxy-lyase","6","6","1","1","538","","","","1802","1802","1802","OBHBHFCO_00155","CCHHBCMG_00439","HDHBLALJ_00727","NFMMKAFD_00438","HIOKELPH_00780","DOCPNFPP_00538"
"group_234","","hypothetical protein","6","6","1","1","527","","","","557","557","557","OBHBHFCO_00163","CCHHBCMG_00431","HDHBLALJ_00735","NFMMKAFD_00430","HIOKELPH_00788","DOCPNFPP_00546"
"korA","","2-oxoglutarate oxidoreductase subunit KorA","6","6","1","1","522","","","","1124","1124","1124","OBHBHFCO_00165","CCHHBCMG_00429","HDHBLALJ_00737","NFMMKAFD_00428","HIOKELPH_00790","DOCPNFPP_00548"
"rsxB_1","","Ion-translocating oxidoreductase complex subunit B","6","6","1","1","521","","","","311","311","311","OBHBHFCO_00166","CCHHBCMG_00428","HDHBLALJ_00738","NFMMKAFD_00427","HIOKELPH_00791","DOCPNFPP_00549"
"sucC","","Succinate--CoA ligase [ADP-forming] subunit beta","6","6","1","1","519","","","","1163","1163","1163","OBHBHFCO_00168","CCHHBCMG_00426","HDHBLALJ_00740","NFMMKAFD_00425","HIOKELPH_00793","DOCPNFPP_00551"
"group_238","","hypothetical protein","6","6","1","1","514","","","","431","431","431","OBHBHFCO_00173","CCHHBCMG_00421","HDHBLALJ_00745","NFMMKAFD_00420","HIOKELPH_00798","DOCPNFPP_00556"
"htpG","","Chaperone protein HtpG","6","6","1","1","505","","","","1826","1829","1828","OBHBHFCO_00180","CCHHBCMG_00412","HDHBLALJ_00752","NFMMKAFD_00412","HIOKELPH_00805","DOCPNFPP_00563"
"rpoBC_1","","Bifunctional DNA-directed RNA polymerase subunit beta-beta'","6","6","1","1","471","","","","4550","4553","4551","OBHBHFCO_00209","CCHHBCMG_00384","HDHBLALJ_00781","NFMMKAFD_00385","HIOKELPH_00844","DOCPNFPP_00592"
"rplJ","","50S ribosomal protein L10","6","6","1","1","465","","","","479","479","479","OBHBHFCO_00212","CCHHBCMG_00381","HDHBLALJ_00784","NFMMKAFD_00382","HIOKELPH_00847","DOCPNFPP_00595"
"group_242","","hypothetical protein","6","6","1","1","461","","","","179","179","179","OBHBHFCO_00216","CCHHBCMG_00377","HDHBLALJ_00788","NFMMKAFD_00378","HIOKELPH_00851","DOCPNFPP_00599"
"mqnC","","Cyclic dehypoxanthine futalosine synthase","6","6","1","1","444","","","","1046","1046","1046","OBHBHFCO_00231","CCHHBCMG_00362","HDHBLALJ_00803","NFMMKAFD_00363","HIOKELPH_00866","DOCPNFPP_00614"
"group_245","","hypothetical protein","6","6","1","1","1426","","","","806","830","810","OBHBHFCO_00311","CCHHBCMG_00289","HDHBLALJ_00287","NFMMKAFD_00296","HIOKELPH_00338","DOCPNFPP_00208"
"cfiB","","2-oxoglutarate carboxylase small subunit","6","6","1","1","1429","","","","1442","1445","1443","OBHBHFCO_00314","CCHHBCMG_00286","HDHBLALJ_00290","NFMMKAFD_00293","HIOKELPH_00335","DOCPNFPP_00205"
"group_248","","hypothetical protein","6","6","1","1","1449","","","","350","350","350","OBHBHFCO_00331","CCHHBCMG_00271","HDHBLALJ_00307","NFMMKAFD_00277","HIOKELPH_00318","DOCPNFPP_00188"
"rpsF","","30S ribosomal protein S6","6","6","1","1","1470","","","","377","377","377","OBHBHFCO_00353","CCHHBCMG_00256","HDHBLALJ_00329","NFMMKAFD_00261","HIOKELPH_00295","DOCPNFPP_00166"
"fliW","","Flagellar assembly factor FliW","6","6","1","1","1475","","","","389","389","389","OBHBHFCO_00358","CCHHBCMG_00251","HDHBLALJ_00334","NFMMKAFD_00256","HIOKELPH_00290","DOCPNFPP_00161"
"yajC","","Sec translocon accessory complex subunit YajC","6","6","1","1","1510","","","","230","272","258","OBHBHFCO_00377","CCHHBCMG_00232","HDHBLALJ_00353","NFMMKAFD_00237","HIOKELPH_00271","DOCPNFPP_00142"
"ftsH_1","","ATP-dependent zinc metalloprotease FtsH","6","6","1","1","1532","","","","1937","1946","1943","OBHBHFCO_00401","CCHHBCMG_00210","HDHBLALJ_00377","NFMMKAFD_00215","HIOKELPH_00247","DOCPNFPP_00118"
"group_258","","hypothetical protein","6","6","1","1","1056","","","","281","281","281","OBHBHFCO_00415","CCHHBCMG_00816","HDHBLALJ_00098","NFMMKAFD_01001","HIOKELPH_00522","DOCPNFPP_01391"
"glmU_1","","Bifunctional protein GlmU","6","6","1","1","1029","","","","1289","1289","1289","OBHBHFCO_00442","CCHHBCMG_00843","HDHBLALJ_00071","NFMMKAFD_01028","HIOKELPH_00549","DOCPNFPP_01418"
"fliP","","Flagellar biosynthetic protein FliP","6","6","1","1","1028","","","","734","743","740","OBHBHFCO_00443","CCHHBCMG_00844","HDHBLALJ_00070","NFMMKAFD_01029","HIOKELPH_00550","DOCPNFPP_01419"
"fabL","","Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL","6","6","1","1","1008","","","","779","779","779","OBHBHFCO_00454","CCHHBCMG_00853","HDHBLALJ_00059","NFMMKAFD_01039","HIOKELPH_00560","DOCPNFPP_01430"
"group_264","","hypothetical protein","6","6","1","1","976","","","","245","245","245","OBHBHFCO_00472","CCHHBCMG_00873","HDHBLALJ_00041","NFMMKAFD_01059","HIOKELPH_00578","DOCPNFPP_01448"
"napA_1","","Periplasmic nitrate reductase","6","6","1","1","959","","","","2771","2774","2773","OBHBHFCO_00482","CCHHBCMG_00880","HDHBLALJ_00031","NFMMKAFD_01066","HIOKELPH_00588","DOCPNFPP_01458"
