id,Virulence_Gene,Locus_Tag,Note,Product,DB_Xref,Location
3106,sseK3,SL1344_4096,None,Type III secretion system effector protein,EnsemblGenomes-Gn:SL1344_4096,genome
3105,gtgA,SL1344_0965,None,hypothetical bacteriophage encoded virulence protein,EnsemblGenomes-Gn:SL1344_0965,genome
3104,gogA,SN31241_20390,GogA of root UniRef RepID=B4T1J2_SALNS,GogA,None,genome
3103,cvaC,SE15cs_04957,None,pre-colicin V protein CvaC,None,Plasmid-IncF
3102,cvaB,SE15cs_04958,None,colicin V biosynthesis protein CvaB,None,Plasmid-IncF
3101,cvaA,SE15cs_04959,None,colicin V secretion protein CvaA,None,Plasmid-IncF
3100,sitC,STM2863,SitC (gi|5231096),iron ABC transporter permease,GeneID:1254386,genome
3099,sitB,STM2862,SitB (gi|5231095),manganese/iron transporter ATP-binding protein,GeneID:1254385,genome
3097,iutA,SARI_RS10055,Derived by automated computational analysis using gene prediction method: Protein Homology.,ferric aerobactin receptor IutA,None,genome
3096,iucD,SARI_RS10050,Derived by automated computational analysis using gene prediction method: Protein Homology.,SidA/IucD/PvdA family monooxygenase,None,genome
3095,iucC,SARI_RS10045,Derived by automated computational analysis using gene prediction method: Protein Homology.,aerobactin synthase IucC,None,genome
3094,iucB,SARI_RS10040,Derived by automated computational analysis using gene prediction method: Protein Homology.,N(6)-hydroxylysine O-acetyltransferase,None,genome
3093,iucA,SARI_RS10035,Derived by automated computational analysis using gene prediction method: Protein Homology.,NIS family aerobactin synthetase IucA,None,genome
3092,S026,,,putative ATPase,,SGI-1
3091,S025,,,putative proteinase subtilisin-like protein,,SGI-1
3090,S024,,,putative exonuclease,,SGI-1
3089,S023,,,putative helicase,,SGI-1
3088,S022,,,hypothetical protein,,SGI-1
3087,S021,,,hypothetical protein,,SGI-1
3086,S020,,,putative integrase,,SGI-1
3085,S019,,,hypothetical protein,,SGI-1
3084,S018,,,hypothetical protein,,SGI-1
3083,S017,,,hypothetical protein,,SGI-1
3082,S016,,,hypothetical protein,,SGI-1
3081,S015,,,hypothetical protein,,SGI-1
3080,S014,,,hypothetical protein,,SGI-1
3079,S013,,,hypothetical protein,,SGI-1
3078,S004,,hypothetical protein,S004,,SGI-1
3077,yidY,STM3847,"1st mdule; similar to E. coli putative transport protein (AAC76733.1); Blastp hit to AAC76733.1 (391 aa), 77% identity in aa 1 - 391",multidrug transporter subunit MdtL,GeneID:1255374,SGI-1
3076,res,STM0358,type iii restriction-modification system stylti enzyme res (SW:T3RE_SALTY),DNA restriction (DNA helicase),GeneID:1251877,SGI-1
3075,xis,t1928,corresponds to STY1012 from Accession AL513382: Salmonella typhi CT18,excisionase,,SGI-1
3074,int,t1929,corresponds to STY1011 from Accession AL513382: Salmonella typhi CT18,integrase,,SGI-1
3073,sinI,STM2516,SinI (gi|4583530),hypothetical protein,GeneID:1254038,SPI-24
3072,ratA,STM2515,RatA (gi|4583529),hypothetical protein,GeneID:1254037,SPI-24
3071,hns_2,NCTC3046_02516,,DNA-binding protein h-ns,GOA:A0A509BPK8,SPI-23
3070,bfpA,NCTC3046_01785,,type IV pilin protein,,SPI-23
3069,clpV,LFZ50_06835,Derived by automated computational analysis using gene prediction method: Protein Homology.,ClpV1 family T6SS ATPase,,SPI-22
3067,tssI,CHD54_RS03425,incomplete; partial in the middle of a contig; missing C-terminus; Derived by automated computational analysis using gene prediction method: Protein Homology.,type VI secretion system tip protein VgrG,,SPI-22
3066,tssH,CHD54_RS17730,Derived by automated computational analysis using gene prediction method: Protein Homology.,type VI secretion system ATPase TssH,,SPI-22
3065,tssF,KCP69_18420,frameshifted; internal stop; incomplete; partial on complete genome; missing C-terminus; Derived by automated computational analysis using gene prediction method: Protein Homology.,type VI secretion system baseplate subunit TssF,,SPI-22
3064,tssC,CHD54_18015,Derived by automated computational analysis using gene prediction method: Protein Homology.,type VI secretion system contractile sheath large subunit,,SPI-22
3063,tssB,CHD54_18010,Derived by automated computational analysis using gene prediction method: Protein Homology.,type VI secretion system contractile sheath small subunit,,SPI-22
3062,tssK,CHD54_18045,Derived by automated computational analysis using gene prediction method: Protein Homology.,type VI secretion system baseplate subunit TssK,,SPI-22
3061,tssA,CHD54_18065,Derived by automated computational analysis using gene prediction method: Protein Homology.,type VI secretion system protein TssA,,SPI-22
