Name	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
CA140705	NA	NODE_10_length_11181_cov_98.997467	555	1418	-	aadE	aminoglycoside 6-adenylyltransferase AadE	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	BLASTX	288	288	100.00	99.65	288	WP_001255868.1	aminoglycoside 6-adenylyltransferase AadE	NA	NA
CA140705	NA	NODE_10_length_11181_cov_98.997467	3880	4671	-	aph(3')-IIIa	aminoglycoside O-phosphotransferase APH(3')-IIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTX	264	264	100.00	100.00	264	WP_001096887.1	aminoglycoside O-phosphotransferase APH(3')-IIIa	NA	NA
CA140705	NA	NODE_10_length_11181_cov_98.997467	4767	5060	-	sat4	streptothricin N-acetyltransferase Sat4	core	AMR	AMR	STREPTOTHRICIN	STREPTOTHRICIN	PARTIALX	98	180	54.44	100.00	98	WP_000627290.1	streptothricin N-acetyltransferase Sat4	NA	NA
CA140705	NA	NODE_10_length_11181_cov_98.997467	5379	5879	-	spw	ANT(9) family aminoglycoside nucleotidyltransferase Spw	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	PARTIALX	167	269	62.08	100.00	167	WP_002294509.1	ANT(9) family aminoglycoside nucleotidyltransferase Spw	NA	NA
CA140705	NA	NODE_10_length_11181_cov_98.997467	8194	9114	-	aph(2'')-IIIa	aminoglycoside O-phosphotransferase APH(2'')-IIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	BLASTX	307	306	100.00	99.35	307	WP_018659526.1	aminoglycoside O-phosphotransferase APH(2'')-IIIa	NA	NA
CA140705	NA	NODE_12_length_3781_cov_103.551450	1936	2712	-	aad9	ANT(9) family aminoglycoside nucleotidyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	BLASTX	259	258	100.00	99.61	259	WP_002578722.1	ANT(9) family aminoglycoside nucleotidyltransferase	NA	NA
CA140705	NA	NODE_13_length_1167_cov_222.422115	105	1166	-	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIAL_CONTIG_ENDX	354	639	55.40	99.15	354	WP_014636291.1	tetracycline resistance ribosomal protection protein Tet(O)	NA	NA
CA140705	NA	NODE_1_length_597876_cov_87.036437	330553	333117	+	gyrA_T86I	Campylobacter quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	855	855	100.00	99.88	855	WP_002779062.1	DNA gyrase subunit A GyrA	NA	NA
CA140705	NA	NODE_3_length_208642_cov_91.661952	1864	2625	-	acr3	arsenite efflux transporter Acr3	plus	STRESS	METAL	ARSENIC	ARSENITE	PARTIALX	254	347	73.20	100.00	254	ATE69525.1	arsenite efflux transporter Acr3	NA	NA
CA140705	NA	NODE_4_length_165410_cov_91.697422	42712	43607	+	blaOXA-61_G-57T	Campylobacter beta-lactam resistant blaOXA-61 promoter	core	AMR	POINT	BETA-LACTAM	BETA-LACTAM	POINTN	896	896	100.00	99.67	896	NZ_CP022079.1:267177-268072	blaOXA-61 promoter region	NA	NA
CA140705	NA	NODE_4_length_165410_cov_91.697422	42834	43604	+	blaOXA-193	OXA-61 family class D beta-lactamase OXA-193	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	257	257	100.00	100.00	257	WP_002783228.1	OXA-61 family class D beta-lactamase OXA-193	NA	NA
CA140705	NA	NODE_6_length_110339_cov_89.964423	1	981	-	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIAL_CONTIG_ENDX	327	639	51.17	99.69	327	WP_012669445.1	tetracycline resistance ribosomal protection protein Tet(O)	NA	NA
