locus_tag	ftype	length_bp	gene	EC_number	COG	product
NFMMKAFD_00001	CDS	1881				hypothetical protein
NFMMKAFD_00002	CDS	1953				hypothetical protein
NFMMKAFD_00003	CDS	771	bacC	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
NFMMKAFD_00004	CDS	708	legF_1	2.7.7.82	COG1083	CMP-N,N'-diacetyllegionaminic acid synthase
NFMMKAFD_00005	CDS	906				hypothetical protein
NFMMKAFD_00006	CDS	1026	cugP	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
NFMMKAFD_00007	CDS	1155	legG	3.2.1.184	COG0381	GDP/UDP-N,N'-diacetylbacillosamine 2-epimerase (hydrolyzing)
NFMMKAFD_00008	CDS	1005	legI	2.5.1.101	COG2089	N,N'-diacetyllegionaminic acid synthase
NFMMKAFD_00009	CDS	465	fmt_1	2.1.2.9		Methionyl-tRNA formyltransferase
NFMMKAFD_00010	CDS	1146	epsN	2.6.1.-	COG0399	Putative pyridoxal phosphate-dependent aminotransferase EpsN
NFMMKAFD_00011	CDS	972	rmd_1	1.1.1.281		GDP-6-deoxy-D-mannose reductase
NFMMKAFD_00012	CDS	1032	pseI	2.5.1.97	COG2089	Pseudaminic acid synthase
NFMMKAFD_00013	CDS	1137				hypothetical protein
NFMMKAFD_00014	CDS	606	hisH_1	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
NFMMKAFD_00015	CDS	747	hisF_1	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
NFMMKAFD_00016	CDS	474	pseH	2.3.1.202	COG1670	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase
NFMMKAFD_00017	CDS	825	pseG	3.6.1.57	COG3980	UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase
NFMMKAFD_00018	CDS	699	legF_2	2.7.7.82	COG1083	CMP-N,N'-diacetyllegionaminic acid synthase
NFMMKAFD_00019	CDS	657				hypothetical protein
NFMMKAFD_00020	CDS	573				hypothetical protein
NFMMKAFD_00021	CDS	789				hypothetical protein
NFMMKAFD_00022	CDS	999				hypothetical protein
NFMMKAFD_00023	CDS	615				hypothetical protein
NFMMKAFD_00024	CDS	225				hypothetical protein
NFMMKAFD_00025	CDS	720	fmt_2	2.1.2.9		Methionyl-tRNA formyltransferase
NFMMKAFD_00026	CDS	726				hypothetical protein
NFMMKAFD_00027	CDS	1509	dltA	6.2.1.54	COG1020	D-alanine--D-alanyl carrier protein ligase
NFMMKAFD_00028	CDS	1230				hypothetical protein
NFMMKAFD_00029	CDS	222				hypothetical protein
NFMMKAFD_00030	CDS	1062	fabH	2.3.1.180		3-oxoacyl-[acyl-carrier-protein] synthase 3
NFMMKAFD_00031	CDS	1563				hypothetical protein
NFMMKAFD_00032	CDS	417				hypothetical protein
NFMMKAFD_00033	CDS	894				hypothetical protein
NFMMKAFD_00034	CDS	231				hypothetical protein
NFMMKAFD_00035	CDS	792				hypothetical protein
NFMMKAFD_00036	CDS	792				hypothetical protein
NFMMKAFD_00037	CDS	939			COG4310	Putative polysaccharide biosynthesis protein with aminopeptidase-like domain protein
NFMMKAFD_00038	CDS	201				hypothetical protein
NFMMKAFD_00039	CDS	1131	pseC	2.6.1.92	COG0399	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase
NFMMKAFD_00040	CDS	1005	pseB	4.2.1.115	COG1086	UDP-N-acetylglucosamine 4,6-dehydratase (inverting)
NFMMKAFD_00041	CDS	561	dcd	3.5.4.13	COG0717	dCTP deaminase
NFMMKAFD_00042	CDS	456	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
NFMMKAFD_00043	CDS	1332	accC	6.3.4.14	COG0439	Biotin carboxylase
NFMMKAFD_00044	CDS	816	surA	5.2.1.8		Chaperone SurA
NFMMKAFD_00045	CDS	1392	gltX1	6.1.1.17		Glutamate--tRNA ligase 1
NFMMKAFD_00046	CDS	1236	maeB	1.1.1.40	COG0281	NADP-dependent malic enzyme
NFMMKAFD_00047	CDS	627	upp	2.4.2.9		Uracil phosphoribosyltransferase
NFMMKAFD_00048	CDS	672	mqnA	4.2.1.151		Chorismate dehydratase
NFMMKAFD_00049	CDS	651	ktrA		COG0569	Ktr system potassium uptake protein A
NFMMKAFD_00050	CDS	1344	ktrB		COG0168	Ktr system potassium uptake protein B
NFMMKAFD_00051	tRNA	76				tRNA-Phe(gaa)
NFMMKAFD_00052	tRNA	77				tRNA-Met(cat)
NFMMKAFD_00053	CDS	1101	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
NFMMKAFD_00054	CDS	969	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
NFMMKAFD_00055	CDS	1233				hypothetical protein
NFMMKAFD_00056	CDS	1179	trmB	2.1.1.33		tRNA (guanine-N(7)-)-methyltransferase
NFMMKAFD_00057	CDS	666	metN_1	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
NFMMKAFD_00058	CDS	807				hypothetical protein
NFMMKAFD_00059	CDS	1194				hypothetical protein
NFMMKAFD_00060	CDS	720	pyrH	2.7.4.22	COG0528	Uridylate kinase
NFMMKAFD_00061	CDS	225	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
NFMMKAFD_00062	CDS	2196	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
NFMMKAFD_00063	CDS	1206	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
NFMMKAFD_00064	CDS	1092				hypothetical protein
NFMMKAFD_00065	CDS	1980				hypothetical protein
NFMMKAFD_00066	CDS	1842	mnmC		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
NFMMKAFD_00067	CDS	1140	hydA	1.12.5.1	COG1740	Quinone-reactive Ni/Fe-hydrogenase small chain
NFMMKAFD_00068	CDS	1716	hydB	1.12.5.1	COG0374	Quinone-reactive Ni/Fe-hydrogenase large chain
NFMMKAFD_00069	CDS	693	hydC		COG1969	Quinone-reactive Ni/Fe-hydrogenase B-type cytochrome subunit
NFMMKAFD_00070	CDS	504				hypothetical protein
NFMMKAFD_00071	CDS	573	recR		COG0353	Recombination protein RecR
NFMMKAFD_00072	CDS	1236				hypothetical protein
NFMMKAFD_00073	CDS	672	regX3_1		COG0745	Sensory transduction protein regX3
NFMMKAFD_00074	CDS	1125	dnaJ		COG0484	Chaperone protein DnaJ
NFMMKAFD_00075	CDS	1281	porA			Major outer membrane protein
NFMMKAFD_00076	CDS	456	yfkJ	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase YfkJ
NFMMKAFD_00077	CDS	1185	sbnD			Staphyloferrin B transporter
NFMMKAFD_00078	CDS	663				hypothetical protein
NFMMKAFD_00079	CDS	483				hypothetical protein
NFMMKAFD_00080	CDS	2160	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
NFMMKAFD_00081	CDS	2049	lptD			LPS-assembly protein LptD
NFMMKAFD_00082	CDS	453				hypothetical protein
NFMMKAFD_00083	CDS	1251	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
NFMMKAFD_00084	CDS	1461				hypothetical protein
NFMMKAFD_00085	CDS	1536	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
NFMMKAFD_00086	CDS	495				hypothetical protein
NFMMKAFD_00087	CDS	1803	uvrC		COG0322	UvrABC system protein C
NFMMKAFD_00088	CDS	1197				hypothetical protein
NFMMKAFD_00089	CDS	903	moaA_1			GTP 3',8-cyclase
NFMMKAFD_00090	CDS	1023	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
NFMMKAFD_00091	CDS	321				hypothetical protein
NFMMKAFD_00092	CDS	1200	araJ		COG2814	Putative transporter AraJ
NFMMKAFD_00093	CDS	603				hypothetical protein
NFMMKAFD_00094	CDS	1095	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
NFMMKAFD_00095	CDS	774	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
NFMMKAFD_00096	CDS	975	gppA_1	3.6.1.40		Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
NFMMKAFD_00097	CDS	951				hypothetical protein
NFMMKAFD_00098	CDS	822				hypothetical protein
NFMMKAFD_00099	CDS	1995	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
NFMMKAFD_00100	CDS	621	gph	3.1.3.18	COG0546	Phosphoglycolate phosphatase
NFMMKAFD_00101	CDS	333				hypothetical protein
NFMMKAFD_00102	CDS	1626	kefC		COG0475	Glutathione-regulated potassium-efflux system protein KefC
NFMMKAFD_00103	CDS	375				hypothetical protein
NFMMKAFD_00104	CDS	894	cbpA		COG2214	Curved DNA-binding protein
NFMMKAFD_00105	CDS	1419	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
NFMMKAFD_00106	CDS	675	regX3_2		COG0745	Sensory transduction protein regX3
NFMMKAFD_00107	CDS	1248				hypothetical protein
NFMMKAFD_00108	tRNA	75				tRNA-Asn(gtt)
NFMMKAFD_00109	CDS	249				hypothetical protein
NFMMKAFD_00110	CDS	600				Bacteriohemerythrin
NFMMKAFD_00111	CDS	666	mprA_1		COG0745	Response regulator MprA
NFMMKAFD_00112	CDS	1191	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
NFMMKAFD_00113	CDS	1638	groL			60 kDa chaperonin
NFMMKAFD_00114	CDS	261	groS		COG0234	10 kDa chaperonin
NFMMKAFD_00115	CDS	2541				hypothetical protein
NFMMKAFD_00116	CDS	612	ribE	2.5.1.9		Riboflavin synthase
NFMMKAFD_00117	CDS	681				hypothetical protein
NFMMKAFD_00118	CDS	204				hypothetical protein
NFMMKAFD_00119	CDS	1161	mepM	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
NFMMKAFD_00120	CDS	717	pgbA			Plasminogen-binding protein PgbA
NFMMKAFD_00121	CDS	1383		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
NFMMKAFD_00122	CDS	807				hypothetical protein
NFMMKAFD_00123	CDS	1260				hypothetical protein
NFMMKAFD_00124	CDS	558	yohD_1		COG0586	Inner membrane protein YohD
NFMMKAFD_00125	CDS	1554	rny	3.1.-.-	COG1418	Ribonuclease Y
