Name	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
CB521_filtered_contigs	NA	NODE_13_length_71237_cov_59.959134	20833	21795	+	iutA	ABC-type iron uptake system periplasmic component	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	iutABCDE	iutABCDE	EXACTX	321	321	100.00	100.00	321	0|AEX68809.1	ABC-type iron uptake system periplasmic component	NA	NA
CB521_filtered_contigs	NA	NODE_13_length_71237_cov_59.959134	21897	22628	+	iutB	ABC-type iron uptake system ATP-binding protein	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	iutABCDE	iutABCDE	EXACTX	244	244	100.00	100.00	244	0|AEX68810.1	ABC-type iron uptake system ATP-binding protein	NA	NA
CB521_filtered_contigs	NA	NODE_13_length_71237_cov_59.959134	22799	23524	+	iutC	ABC-type iron uptake system membrane protein	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	iutABCDE	iutABCDE	EXACTX	242	242	100.00	100.00	242	0|AEX68811.1	ABC-type iron uptake system membrane protein	NA	NA
CB521_filtered_contigs	NA	NODE_13_length_71237_cov_59.959134	23524	24372	+	iutD	ABC-type iron uptake system membrane protein	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	iutABCDE	iutABCDE	EXACTX	283	283	100.00	100.00	283	0|AEX68812.1	ABC-type iron uptake system membrane protein	NA	NA
CB521_filtered_contigs	NA	NODE_13_length_71237_cov_59.959134	24459	25517	+	iutE	ABC-type iron uptake system substrate-binding protein	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	iutABCDE	iutABCDE	BLASTX	353	345	100.00	97.45	353	0|AEX68813.1	ABC-type iron uptake system substrate-binding protein	NA	NA
CB521_filtered_contigs	NA	NODE_13_length_71237_cov_59.959134	51266	51772	-	rbp-like	Ribosome binding protein like	plus	VIRULENCE	VIRULENCE	OTHER_TOXINS	OTHER_TOXINS	INTERNAL_STOP	169	229	79.91	85.79	183	372114090|AEX80148.1	Ribosome binding protein like	NA	NA
CB521_filtered_contigs	NA	NODE_14_length_58074_cov_57.100592	6211	7005	-	iusE	ABC-type iron uptake system ATP-binding protein	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	iusABCDE	iusABCDE	EXACTX	265	265	100.00	100.00	265	0|AEX70837.1	ABC-type iron uptake system ATP-binding protein	NA	NA
CB521_filtered_contigs	NA	NODE_14_length_58074_cov_57.100592	7012	7887	-	iusD	ABC-type iron uptake system periplasmic component	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	iusABCDE	iusABCDE	EXACTX	292	292	100.00	100.00	292	0|AEX70838.1	ABC-type iron uptake system periplasmic component	NA	NA
CB521_filtered_contigs	NA	NODE_14_length_58074_cov_57.100592	7902	8933	-	iusC	ABC-type iron uptake system permease protein	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	iusABCDE	iusABCDE	BLASTX	344	344	100.00	99.71	344	0|AEX70839.1	ABC-type iron uptake system permease protein	NA	NA
CB521_filtered_contigs	NA	NODE_14_length_58074_cov_57.100592	8936	9367	-	iusB	ABC-type iron uptake system permease protein	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	iusABCDE	iusABCDE	EXACTX	144	144	100.00	100.00	144	0|AEX70840.1	ABC-type iron uptake system permease protein	NA	NA
CB521_filtered_contigs	NA	NODE_14_length_58074_cov_57.100592	9396	10007	-	iusA	ABC-type iron uptake system permease protein	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	iusABCDE	iusABCDE	EXACTX	204	204	100.00	100.00	204	0|AEX70841.1	ABC-type iron uptake system permease protein	NA	NA
CB521_filtered_contigs	NA	NODE_16_length_50330_cov_55.429715	7431	8282	+	sapD	Surface-anchored pilus proteins sapD	plus	ADHESIN	ADHESIN	SapADE_diphtheriae	SapADE_diphtheriae	BLASTX	284	284	100.00	97.18	284	0|WP_010934306.1	Surface-anchored pilus proteins sapD	NA	NA
CB521_filtered_contigs	NA	NODE_19_length_38118_cov_62.492011	27812	29215	-	ddpD	ABC-type peptide/nickel transporter ATP-binding protein	core	SIDEROPHORE	SIDEROPHORE	cdtQP-sidBA-ddpABCD	cdtQP-sidBA-ddpABCD	BLASTX	468	468	100.00	99.15	468	0|AEX70769.1	ABC-type peptide/nickel transporter ATP-binding protein	NA	NA
CB521_filtered_contigs	NA	NODE_19_length_38118_cov_62.492011	29215	30033	-	ddpC	ABC-type peptide/nickel transporter permease protein	core	SIDEROPHORE	SIDEROPHORE	cdtQP-sidBA-ddpABCD	cdtQP-sidBA-ddpABCD	BLASTX	273	273	100.00	99.63	273	0|AEX70768.1	ABC-type peptide/nickel transporter permease protein	NA	NA
CB521_filtered_contigs	NA	NODE_19_length_38118_cov_62.492011	30033	30983	-	ddpB	ABC-type peptide/nickel transporter permease protein	core	SIDEROPHORE	SIDEROPHORE	cdtQP-sidBA-ddpABCD	cdtQP-sidBA-ddpABCD	BLASTX	317	317	100.00	98.42	317	0|AEX70767.1	ABC-type peptide/nickel transporter permease protein	NA	NA
CB521_filtered_contigs	NA	NODE_19_length_38118_cov_62.492011	30999	32495	-	ddpA	ABC-type peptide transporter solute-binding protein	core	SIDEROPHORE	SIDEROPHORE	cdtQP-sidBA-ddpABCD	cdtQP-sidBA-ddpABCD	BLASTX	499	499	100.00	99.20	499	0|AEX70766.1	ABC-type peptide transporter solute-binding protein	NA	NA
CB521_filtered_contigs	NA	NODE_19_length_38118_cov_62.492011	33804	35582	+	cdtP	ABC transport protein ATP-binding/permease protein	core	SIDEROPHORE	SIDEROPHORE	cdtQP-sidBA-ddpABCD	cdtQP-sidBA-ddpABCD	BLASTX	593	593	100.00	99.16	593	0|AEX70763.1	ABC transport protein ATP-binding/permease protein	NA	NA
CB521_filtered_contigs	NA	NODE_19_length_38118_cov_62.492011	35588	37339	+	cdtQ	ABC transport protein ATP-binding/permease protein	core	SIDEROPHORE	SIDEROPHORE	cdtQP-sidBA-ddpABCD	cdtQP-sidBA-ddpABCD	BLASTX	584	584	100.00	98.63	584	0|AEX70762.1	ABC transport protein ATP-binding/permease protein	NA	NA
